name,recclass,mass (g),fall,date,year,reclat,reclong
Minnichhof,OC,550,Fell,1/1/1905,1905,47.7,16.6
Kanzaki,H,483,Found,1/1/1905,1905,33.3,130.36667
Kota-Kota,EH3,334,Found,1/1/1905,1905,-13.01667,34.2
Muonionalusta,Iron IVA,230000,Found,1/1/1906,1906,67.8,23.1
Selma,H4,140600,Found,1/1/1906,1906,32.4,-87
Duchesne,Iron IVA,22700,Found,1/1/1906,1906,40.38333,-110.86667
Perryville,Iron IIC,17500,Found,1/1/1906,1906,37.73333,-89.85
Elm Creek,H4,7000,Found,1/1/1906,1906,38.5,-96.2
Kulp,H6,3719,Fell,1/1/1906,1906,41.11667,45
Marburg,Pallasite,3000,Found,1/1/1906,1906,50.81667,8.76667
Vishnupur,LL4-6,2437,Fell,1/1/1906,1906,23.1,87.43333
Blackwell,L5,2381,Fell,1/1/1906,1906,36.83333,-97.33333
Diep River,L6,1000,Fell,1/1/1906,1906,-33.75,18.56667
Krutikha,OC,845.2,Fell,1/1/1906,1906,56.8,77
Kijima (1906),Stone-uncl,331,Fell,1/1/1906,1906,36.85,138.38333
Kirbyville,Eucrite-mmict,97.7,Fell,1/1/1906,1906,30.75,-95.95
Guffey,Iron ungrouped,309000,Found,1/1/1907,1907,38.76667,-105.51667
Huizopa,Iron IVA,140000,Found,1/1/1907,1907,28.9,-108.56667
Ainsworth,Iron IIAB,80650,Found,1/1/1907,1907,42.6,-99.8
Norfolk,Iron IIIAB,23000,Found,1/1/1907,1907,36.9,-76.3
Bodaibo,Iron IVA,15900,Found,1/1/1907,1907,57.85,114.2
Mount Ayliff,Iron IAB-MG,13600,Found,1/1/1907,1907,-30.81667,29.35
Shrewsbury,Iron IAB-sLL,12000,Found,1/1/1907,1907,39.76667,-76.66667
Chainpur,LL3.4,8200,Fell,1/1/1907,1907,25.85,83.48333
Cleburne,Iron IVA,6800,Found,1/1/1907,1907,32.31667,-97.41667
Simondium,Mesosiderite-A4,1600,Found,1/1/1907,1907,-33.85,18.95
Bali,CV3,1000,Fell,1/1/1907,1907,5.38333,16.38333
Leighton,H5,877,Fell,1/1/1907,1907,34.58333,-87.5
Bowden,H5,603,Found,1/1/1907,1907,-33,26.4
Fairburn,Iron IAB-ung,445,Found,1/1/1907,1907,43.603,-103.026
Domanitch,L5,438,Fell,1/1/1907,1907,40,29
Näs,LL6,375,Found,1/1/1907,1907,59.18333,12.21667
Quinn Canyon,Iron IIIAB,1450000,Found,1/1/1908,1908,38.08333,-115.53333
Arltunga,Iron IID-an,18100,Found,1/1/1908,1908,-23.33333,134.66667
Palmersville,H5,9979,Found,1/1/1908,1908,36.4665,-88.60283
Mokoia,CV3,4500,Fell,1/1/1908,1908,-39.63333,174.4
Kagarlyk,L6,1900,Fell,1/1/1908,1908,49.86667,30.83333
Kangean,H5,1630,Fell,1/1/1908,1908,-7,115.5
Yarri,Iron IIIAB,1500,Found,1/1/1908,1908,-29.45,121.21667
Avce,Iron IIAB,1230,Fell,1/1/1908,1908,46,13.5
Novy-Projekt,OC,1001,Fell,1/1/1908,1908,56,22
Pickens County,H6,400,Found,1/1/1908,1908,34.5,-84.5
Sete Lagoas,H4,350,Fell,1/1/1908,1908,-19.46667,-44.21667
Salina,Iron,235,Found,1/1/1908,1908,38.98333,-111.85
Imperial,H4,4,Found,1/1/1908,1908,32.86667,-115.58333
Murnpeowie,Iron IC,1143000,Found,1/1/1909,1909,-29.58333,139.9
Mount Dooling,Iron IC,734000,Found,1/1/1909,1909,-29.45,119.71667
Rateldraai,Iron IIIAB,549000,Found,1/1/1909,1909,-28.83333,21.13333
Ahumada,Pallasite PMG,52600,Found,1/1/1909,1909,30.7,-105.5
Haskell,L5,36000,Found,1/1/1909,1909,33.21333,-99.73167
Hermitage Plains,L6,32000,Found,1/1/1909,1909,-31.73333,146.4
Gun Creek,Iron ungrouped,22700,Found,1/1/1909,1909,34,-111
Teplá,Iron IIIAB,17000,Found,1/1/1909,1909,49.98333,12.86667
Gifu,L6,14290,Fell,1/1/1909,1909,35.53333,136.88333
Blanket,L6,5100,Fell,1/1/1909,1909,31.83333,-98.83333
Cratheús (1950),Iron IIC,367,Found,1/1/1909,1909,,
St. Michel,L6,17000,Fell,1/1/1910,1910,61.65,27.2
Vigarano,CV3,15000,Fell,1/1/1910,1910,44.85,11.4
Huntsman,H4,14500,Found,1/1/1910,1910,41.18333,-103
Dorofeevka,Iron IIF,12600,Found,1/1/1910,1910,53.33333,70.06667
Pooposo,Iron IAB-MG,12000,Found,1/1/1910,1910,-18.33333,-66.83333
Tendo,Iron IIIAB,10100,Found,1/1/1910,1910,38.35,140.37333
Khohar,L3.6,9700,Fell,1/1/1910,1910,25.1,81.53333
Mirzapur,L5,8510,Fell,1/1/1910,1910,25.68333,83.25
Hedjaz,L3.7-6,6100,Fell,1/1/1910,1910,27.33333,35.66667
Rica Aventura,Iron IVA,5395,Found,1/1/1910,1910,-21.98333,-69.61667
Baroti,L6,4500,Fell,1/1/1910,1910,31.61667,76.8
Cadell,L6,3290,Found,1/1/1910,1910,-34.06667,139.75
Schaap-Kooi,H4,2700,Found,1/1/1910,1910,-32.08333,21.33333
Blithfield,EL6,1830,Found,1/1/1910,1910,45.5,-77
Hashima,H4,1110.6,Fell,1/1/1910,1910,35.2945,136.70033
Grzempach,H5,690,Fell,1/1/1910,1910,52.86667,16.63333
Britstown,Iron IAB-ung,544,Found,1/1/1910,1910,-30.58333,23.55
Paitan,H6,515,Fell,1/1/1910,1910,17.74333,120.45583
Lakangaon,Eucrite-mmict,212.5,Fell,1/1/1910,1910,21.86667,76.03333
Palahatchie,OC,,Fell,1/1/1910,1910,32.31667,-89.71667
Mundrabilla,Iron IAB-ung,24000000,Found,1/1/1911,1911,-30.78333,127.55
Cruz del Aire,Iron ungrouped,23000,Found,1/1/1911,1911,26.5,-100
Demina,L6,16400,Fell,1/1/1911,1911,51.46667,84.76667
Nakhla,Martian (nakhlite),10000,Fell,1/1/1911,1911,31.31667,30.35
Cullison,H4,10000,Found,1/1/1911,1911,37.61667,-98.91667
Vicenice,Iron IID,4370,Found,1/1/1911,1911,49.21667,15.8
Kermichel,L6,3000,Found,1/1/1911,1911,47.65,-2.76667
Oberlin,LL5,2500,Found,1/1/1911,1911,39.8,-100.51667
Kilbourn,H5,772,Fell,1/1/1911,1911,43.58333,-89.6
Erevan,Howardite,107.2,Fell,1/1/1911,1911,40.3,44.5
Tonk,CI1,7.7,Fell,1/1/1911,1911,24.65,76.86667
Gerzeh,Iron,,Found,1/1/1911,1911,29.31667,31.28333
Holbrook,L/LL6,220000,Fell,1/1/1912,1912,34.9,-110.18333
Colomera,Iron IIE,134000,Found,1/1/1912,1912,37.43333,-3.65
Molong,Pallasite PMG,104000,Found,1/1/1912,1912,-33.28333,148.88333
Gretna,L5,82000,Found,1/1/1912,1912,39.93333,-99.21667
N'Kandhla,Iron IID,17200,Fell,1/1/1912,1912,-28.56667,30.7
Floydada,Iron IIIAB,12500,Found,1/1/1912,1912,33.98333,-101.28333
Bishop Canyon,Iron IVA,8600,Found,1/1/1912,1912,38,-108.5
Binda,Eucrite-cm,5400,Found,1/1/1912,1912,-34.31667,149.38333
Shupiyan,H6,5000,Fell,1/1/1912,1912,33.71667,74.83333
Adelie Land,L5,1000,Found,1/1/1912,1912,-67.18333,142.38333
Leeuwfontein,L6,460,Fell,1/1/1912,1912,-25.66667,28.36667
Tarbagatai,L5,370,Found,1/1/1912,1912,51.36667,107.38333
Mount Edith,Iron IIIAB,326000,Found,1/1/1913,1913,-22.5,116.16667
Chinga,Iron ungrouped,209400,Found,1/1/1913,1913,51.05833,94.4
Owens Valley,Iron IIIAB,192800,Found,1/1/1913,1913,37.46667,-118
Burkett,Iron IAB-MG,8400,Found,1/1/1913,1913,32.03333,-99.25
Culbertson,H4,5900,Found,1/1/1913,1913,40.23333,-100.83333
Sakauchi,Iron,4180,Fell,1/1/1913,1913,35.66667,136.3
Cookeville,Iron IAB-ung,2300,Found,1/1/1913,1913,36.16667,-85.51667
Varpaisjärvi,L6,2000,Found,1/1/1913,1913,63.3,27.73333
Moore County,Eucrite-cm,1880,Fell,1/1/1913,1913,35.41667,-79.38333
Kamiomi,H5,448,Fell,1/1/1913,1913,36.04167,139.95667
Banswal,L5,14,Fell,1/1/1913,1913,30.4,78.2
Morasko,Iron IAB-MG,290000,Found,1/1/1914,1914,52.46667,16.9
Ysleta,Iron ungrouped,140700,Found,1/1/1914,1914,31.65,-106.18333
Karee Kloof,Iron IAB-sLL,92100,Found,1/1/1914,1914,-31.6,25.8
Willow Creek,Iron IIIE,51000,Found,1/1/1914,1914,43.46667,-106.76667
Kuttippuram,L6,45000,Fell,1/1/1914,1914,10.83333,76.03333
Carraweena,L3.9,31600,Found,1/1/1914,1914,-29.23333,139.93333
Cratheús (1931),Iron IVA,27500,Found,1/1/1914,1914,-5.25,-40.5
Artracoona,L6,20810,Found,1/1/1914,1914,-29.06667,139.91667
Palinshih,Iron,18000,Fell,1/1/1914,1914,43.48333,118.61667
Appley Bridge,LL6,15000,Fell,1/1/1914,1914,53.58333,-2.71667
Saint-Sauveur,EH5,14000,Fell,1/1/1914,1914,43.73333,1.38333
Kopjes Vlei,Iron IIAB,13600,Found,1/1/1914,1914,-29.3,21.15
Ryechki,L5,13000,Fell,1/1/1914,1914,51.13333,34.5
Lushton,L6,6700,Found,1/1/1914,1914,40.74972,-97.74972
Yandama,L6,5800,Found,1/1/1914,1914,-29.75,141.03333
Kisvarsány,L6,1550,Fell,1/1/1914,1914,48.16667,22.30833
Nyirábrany,LL5,1100,Fell,1/1/1914,1914,47.55,22.025
