name,recclass,mass (g),fall,date,year,reclat,reclong
Yamato 86137,H4,3.05,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86407,H4,3.02,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86474,H4,3.02,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86297,L6,3,Found,1/1/1986,1986,-84.27363,161.41336
Lewis Cliff 86398,H5,3,Found,1/1/1986,1986,-84.25471,161.40156
Lewis Cliff 86454,H5,3,Found,1/1/1986,1986,-84.27417,161.6765
Yamato 86522,H4,2.99,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86127,H4,2.96,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86224,H4,2.96,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86406,H4,2.96,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86213,H4,2.95,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86462,H4,2.94,Found,1/1/1986,1986,-71.5,35.66667
Allan Hills 86607,H6,2.9,Found,1/1/1986,1986,-76.73104,159.41678
Lewis Cliff 86146,H6,2.9,Found,1/1/1986,1986,-84.25613,161.34998
Lewis Cliff 86200,H5,2.9,Found,1/1/1986,1986,-84.27369,161.6869
Lewis Cliff 86245,H5,2.9,Found,1/1/1986,1986,-84.27371,161.68664
Lewis Cliff 86363,H5,2.9,Found,1/1/1986,1986,-84.27379,161.69013
Yamato 86415,H4,2.89,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86132,H4,2.86,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86767,C,2.86,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86411,H4,2.84,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86239,H4,2.83,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86209,H4,2.82,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86737,CI1,2.81,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86441,H4,2.8,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86128,H4,2.79,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86147,H4,2.76,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86593,H4,2.76,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86427,H4,2.71,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86130,H5,2.7,Found,1/1/1986,1986,-84.25862,161.41322
Lewis Cliff 86359,L6,2.7,Found,1/1/1986,1986,-84.26965,161.41847
Yamato 86141,H4,2.7,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86423,H4,2.7,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86592,H4,2.67,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86521,H4,2.65,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86541,H4,2.64,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86453,H4,2.63,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86144,H4,2.62,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86572,H4,2.62,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86386,LL4,2.6,Found,1/1/1986,1986,-84.25503,161.42898
Lewis Cliff 86394,H5,2.6,Found,1/1/1986,1986,-84.2546,161.40302
Yamato 86057,L6,2.6,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86045,L6,2.59,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86129,H4,2.59,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86401,H4,2.59,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86138,H4,2.57,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86428,H4,2.57,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86495,H4,2.57,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86723,LL6,2.57,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86728,LL6,2.56,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86419,H4,2.55,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86491,H4,2.55,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86143,H4,2.52,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86451,H4,2.52,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86482,H4,2.52,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86097,L6,2.5,Found,1/1/1986,1986,-84.25744,161.48632
Lewis Cliff 86421,L6,2.5,Found,1/1/1986,1986,-84.25555,161.44472
Lewis Cliff 86495,L3.5,2.5,Found,1/1/1986,1986,-84.26733,161.42405
Yamato 86452,H4,2.49,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86471,H4,2.49,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86527,H4,2.48,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86139,H4,2.47,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86414,H4,2.46,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86429,H4,2.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86502,H4,2.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86514,H4,2.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86531,H4,2.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86026,L6,2.44,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86121,H4,2.43,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86133,H4,2.43,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86410,H4,2.43,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86035,L6,2.41,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86504,H4,2.41,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86052,H6,2.4,Found,1/1/1986,1986,-84.27376,161.69043
Lewis Cliff 86054,L6,2.4,Found,1/1/1986,1986,-84.25105,161.35923
Lewis Cliff 86175,L6,2.4,Found,1/1/1986,1986,-84.25758,161.47106
Lewis Cliff 86230,H5,2.4,Found,1/1/1986,1986,-84.27366,161.69391
Lewis Cliff 86342,H6,2.4,Found,1/1/1986,1986,-84.27383,161.68894
Lewis Cliff 86425,L6,2.4,Found,1/1/1986,1986,-84.25407,161.39322
Yamato 86238,H4,2.38,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86484,H4,2.37,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86050,H6,2.35,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86118,H4,2.35,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86464,H4,2.35,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86528,H4,2.34,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86553,H4,2.34,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86135,H4,2.33,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86212,H4,2.32,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86417,H4,2.32,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86436,H4,2.32,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86511,H4,2.32,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86246,L3.4,2.3,Found,1/1/1986,1986,-84.25628,161.39613
Lewis Cliff 86419,LL6,2.3,Found,1/1/1986,1986,-84.25524,161.43398
Lewis Cliff 86427,H6,2.3,Found,1/1/1986,1986,-84.25555,161.43227
Yamato 86234,H4,2.29,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86503,H4,2.29,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86594,H4,2.29,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86114,H4,2.28,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86409,H4,2.27,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86231,H4,2.24,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86232,H4,2.24,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86426,H4,2.22,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86027,L6,2.21,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86162,LL6,2.2,Found,1/1/1986,1986,-84.32291,161.95242
Yamato 86043,H5,2.2,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86148,H4,2.2,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86123,H4,2.18,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86493,H4,2.18,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86130,H4,2.17,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86235,H4,2.17,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86497,H4,2.17,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86534,H4,2.15,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86540,H4,2.12,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86547,H4,2.12,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86228,H4,2.11,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86004,CM2,2.1,Found,1/1/1986,1986,-84.25484,161.44217
Yamato 86120,H4,2.1,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86542,H4,2.1,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86598,H4,2.09,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86134,H4,2.07,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86227,H4,2.07,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86473,H4,2.06,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86506,H4,2.06,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86561,H4,2.06,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86576,H4,2.06,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86155,H4,2.05,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86438,H4,2.05,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86476,H4,2.05,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86225,H4,2.04,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86602,H4,2.04,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86430,H4,2.03,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86537,H4,2.03,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86567,H4,2.03,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86575,H4,2.03,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86494,H4,2.02,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86433,H4,2.01,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86486,H4,2.01,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86525,H4,2.01,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86051,H5,2,Found,1/1/1986,1986,-84.2737,161.69158
Lewis Cliff 86265,H5,2,Found,1/1/1986,1986,-84.27399,161.68703
Lewis Cliff 86294,H5,2,Found,1/1/1986,1986,-84.27376,161.69016
Lewis Cliff 86377,H4,2,Found,1/1/1986,1986,-84.26952,161.41156
Yamato 86237,H4,2,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86520,H4,2,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86115,H4,1.99,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86442,H4,1.99,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86536,H4,1.99,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86405,H4,1.97,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86463,H4,1.97,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86519,H4,1.96,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86545,H4,1.96,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86446,H4,1.95,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86483,H4,1.94,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86740,L6,1.94,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86583,H4,1.93,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86443,H4,1.92,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86513,H4,1.92,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86586,H4,1.91,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86478,L6,1.9,Found,1/1/1986,1986,-84.27304,161.41483
Lewis Cliff 86530,H5,1.9,Found,1/1/1986,1986,-84.23197,161.45583
Yamato 86233,H4,1.9,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86240,H4,1.89,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86432,H4,1.88,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86591,H4,1.87,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86152,H4,1.86,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86229,H4,1.86,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86596,H4,1.84,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86157,H4,1.83,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86472,H4,1.83,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86142,H4,1.82,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86532,H4,1.82,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86735,L6,1.82,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86059,H5,1.8,Found,1/1/1986,1986,-84.27377,161.69209
Lewis Cliff 86173,L6,1.8,Found,1/1/1986,1986,-84.25799,161.39458
Yamato 86573,H4,1.79,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86582,H4,1.78,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86230,H4,1.77,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86738,H5,1.75,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86460,H4,1.74,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86496,H4,1.74,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86526,H4,1.74,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86548,H4,1.74,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86721,L6,1.74,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86533,H4,1.73,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86518,H4,1.72,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86435,H4,1.71,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86148,H5,1.7,Found,1/1/1986,1986,-84.25705,161.4721
Yamato 86040,L6,1.69,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86434,H4,1.69,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86466,H4,1.69,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86703,CM2,1.69,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86226,H4,1.68,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86440,H4,1.68,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86562,H4,1.68,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86454,H4,1.66,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86574,H4,1.66,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86236,H4,1.64,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86604,H4,1.64,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86164,H4,1.63,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86444,H4,1.61,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86467,H4,1.61,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86605,H4,1.61,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86716,CM2,1.61,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86003,Eucrite-pmict,1.6,Found,1/1/1986,1986,-84.25483,161.42152
Lewis Cliff 86007,CM2,1.6,Found,1/1/1986,1986,-84.25648,161.42514
Lewis Cliff 86389,H5,1.6,Found,1/1/1986,1986,-84.25625,161.43107
Lewis Cliff 86417,L3.5,1.6,Found,1/1/1986,1986,-84.2558,161.44739
Yamato 86241,H4,1.6,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86255,H4,1.6,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86487,H4,1.59,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86585,H4,1.59,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86455,H4,1.58,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86744,L6,1.58,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86458,H4,1.57,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86544,H4,1.57,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86136,H4,1.55,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86145,H4,1.55,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86158,H4,1.55,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86047,L3,1.54,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86477,H4,1.54,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86724,L6,1.54,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86431,H4,1.53,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86448,H4,1.53,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86498,H4,1.53,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86499,H4,1.52,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86149,H4,1.51,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86252,H4,1.51,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86445,H4,1.51,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86465,H4,1.51,Found,1/1/1986,1986,-71.5,35.66667
Allan Hills 86612,H5,1.5,Found,1/1/1986,1986,-76.72951,159.41482
Lewis Cliff 86236,H6,1.5,Found,1/1/1986,1986,-84.27382,161.68591
Yamato 86041,L6,1.5,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86159,H4,1.5,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86488,H4,1.5,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86584,H4,1.5,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86156,H4,1.49,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86457,H4,1.49,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86475,H4,1.49,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86600,H4,1.49,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86704,CM2,1.49,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86517,H4,1.48,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86599,H4,1.48,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86151,H4,1.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86485,H4,1.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86549,H4,1.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86603,H4,1.45,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86601,H4,1.44,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86468,H4,1.43,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86727,LL6,1.43,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86538,H4,1.42,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86489,H4,1.41,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86032,H5,1.4,Found,1/1/1986,1986,-84.27363,161.69347
Lewis Cliff 86278,H5,1.4,Found,1/1/1986,1986,-84.27379,161.68673
Lewis Cliff 86408,L3.5,1.4,Found,1/1/1986,1986,-84.25529,161.43171
Lewis Cliff 86529,H5,1.4,Found,1/1/1986,1986,-84.23195,161.48472
Yamato 86243,H4,1.4,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86242,H4,1.38,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86515,H4,1.38,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86539,H4,1.36,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86554,H4,1.35,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86439,H4,1.34,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86587,H4,1.33,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86589,H4,1.33,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86607,H4,1.33,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86246,H4,1.32,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86560,H4,1.32,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86293,H5,1.3,Found,1/1/1986,1986,-84.27379,161.6898
Lewis Cliff 86412,H6,1.3,Found,1/1/1986,1986,-84.25539,161.43595
Yamato 86253,H4,1.3,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86166,H4,1.29,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86153,H4,1.28,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86505,H4,1.27,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86550,H4,1.27,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86609,H4,1.27,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86500,H4,1.25,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86565,H4,1.25,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86577,H4,1.25,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86523,H4,1.24,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86613,H4,1.24,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86558,H4,1.23,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86160,H4,1.22,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86608,H4,1.22,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86563,H4,1.21,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86578,H4,1.21,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86437,H4,1.19,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86146,H4,1.18,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86167,H4,1.18,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86257,H4,1.18,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86512,H4,1.18,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86270,H4,1.17,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86535,H4,1.17,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86581,H4,1.17,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86618,H4,1.17,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86172,H4,1.16,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86551,H4,1.16,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86165,H4,1.15,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86244,H4,1.15,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86251,H4,1.14,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86403,H4,1.13,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86459,H4,1.13,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86170,H4,1.12,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86249,H4,1.12,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86568,H4,1.12,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86254,H4,1.11,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86530,H4,1.11,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86543,H4,1.11,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86556,H4,1.1,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86163,H4,1.09,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86247,H4,1.09,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86580,H4,1.09,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86447,H4,1.08,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86490,H4,1.08,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86176,H4,1.07,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86478,H4,1.06,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86258,H4,1.05,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86615,H4,1.03,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86162,H4,1.02,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86461,H4,1.01,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86610,H4,1.01,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86620,H4,1.01,Found,1/1/1986,1986,-71.5,35.66667
Lewis Cliff 86405,H5,1,Found,1/1/1986,1986,-84.2737,161.69302
Yamato 86559,H4,1,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86571,H4,1,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86579,H4,1,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86614,H4,0.99,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86154,H4,0.98,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86569,H4,0.98,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86256,H4,0.97,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86611,H4,0.97,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86687,CM2,0.97,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86524,H4,0.96,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86245,H4,0.95,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86479,H4,0.95,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86529,H4,0.94,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86449,H4,0.93,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86588,H4,0.93,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86627,H4,0.93,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86161,H4,0.91,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86623,H4,0.9,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86248,H4,0.89,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86480,H4,0.89,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86261,H4,0.88,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86179,H4,0.87,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86265,H4,0.87,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86469,H4,0.87,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86624,H4,0.87,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86171,H4,0.86,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86263,H4,0.86,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86140,H4,0.85,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86174,H4,0.85,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86552,H4,0.85,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86621,H4,0.85,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86625,H4,0.85,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86622,H4,0.84,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86267,H4,0.82,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86470,H4,0.82,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86619,H4,0.82,Found,1/1/1986,1986,-71.5,35.66667
Yamato 86168,H4,0.81,Found,1/1/1986,1986,-71.5,35.66667
Allan Hills 86610,L5,0.8,Found,1/1/1986,1986,-76.73103,159.41682
Lewis Cliff 86006,CV3,0.8,Found,1/1/1986,1986,-84.25552,161.46562
Yamato 86566,H4,0.8,Found,1/1/1986,1986,-71.5,35.66667
